0.789,129.802,0.674,-6.903,0.0753,0.918,Blur,4,0.0676,Blur (Special Edition),1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,1997-02-10,0.00708000,1,8,121160,0.00178
0.441,81.334,0.519,-14.178,0.076,0.25,Pixies,4,0.0353,Surfer Rosa (2007 Remaster),7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - 2007 Remaster,1988-03-21,0.00045300,1,4,234973,0.0204
0.836,113.375,0.743,-6.465,0.384,0.82,The Clash,4,0.116,Combat Rock (Remastered),39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,1982-01-01,0.00000000,1,2,188987,0.0804
0.528,109.975,0.932,-6.472,0.163,0.757,Queen,4,0.161,The Game (Deluxe Remastered Version),57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,1980-06-27,0.32900000,0,5,214653,0.115
0.905,128.019,0.602,-4.046,0.117,0.411,Muse,4,0.0775,The Resistance,4VqPOruhp5EdPBeR92t6lQ,Uprising,2009-09-10,0.06400000,1,2,304840,0.000202
0.519,98.883,0.653,-10.164,0.101,0.822,Buffalo Springfield,4,0.0497,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA,For What It's Worth,1966-12-05,0.02090000,1,2,153693,0.406
0.946,138.18,0.454,-5.978,0.173,0.647,Van Halen,4,0.13,Van Halen (Remastered),0upLyFR8Rr52ZpMp5esQoq,You Really Got Me - 2015 Remaster,1978-02-10,0.00000000,0,1,156147,0.0223
0.828,105.435,0.35,-5.373,0.0774,0.147,Soundgarden,4,0.041,Superunknown (Deluxe Edition),2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,1994-03-09,0.00016100,1,6,318587,0.000217
0.349,124.348,0.489,-14.295,0.0866,0.622,Santana,4,0.0323,Santana's Greatest Hits,4YMQXzscifAREG0a7KNGhB,Black Magic Woman - Single Version,1994-07-01,0.07890000,0,2,196467,0.676
0.872,159.925,0.587,-5.066,0.622,0.735,Lenny Kravitz,4,0.0484,5,1OxcIUqVmVYxT6427tbhDW,Fly Away,1998-05-12,0.00000000,1,7,221333,0.018
0.808,151.008,0.577,-7.04,0.221,0.869,The Police,4,0.039,Reggatta De Blanc (Remastered 2003),1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,1979-10-02,0.00001330,0,1,290280,0.0338
0.758,112.113,0.489,-6.491,0.092,0.435,David Bowie,4,0.0297,"""Heroes"" (2017 Remaster)",7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,1977-01-01,0.49000000,1,7,371413,0.000678
0.932,112.937,0.564,-10.068,0.349,0.619,Led Zeppelin,4,0.0554,Led Zeppelin III (Remaster),78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,1970-01-01,0.16900000,1,11,146250,0.013
0.338,177.765,0.388,-10.054,0.248,0.478,Electric Light Orchestra,4,0.0329,Out of the Blue,2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,1977-01-01,0.00000373,1,10,303373,0.652
0.7,188.386,0.31,-5.678,0.0828,0.763,AC/DC,4,0.047,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,1980-07-25,0.00965000,1,9,255493,0.011
0.691,137.145,0.548,-13.553,0.144,0.667,Heart,4,0.0369,Little Queen,4KfSdst7rW39C0sfhArdrz,Barracuda,1977-05-14,0.10600000,0,4,261933,0.015
0.532,136.576,0.601,-9.119,0.0925,0.342,Elton John,4,0.0286,Honky Chateau,3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",1972-05-19,0.00000595,1,10,281613,0.433
0.641,203.006,0.256,-10.283,0.0853,0.382,Nirvana,4,0.0552,In Utero (Deluxe Edition),11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,1993-09-21,0.03290000,1,1,281160,0.199
0.755,109.535,0.667,-7.246,0.0523,0.883,Eagles,4,0.069,Hotel California (2013 Remaster),6gXrEUzibufX9xYPk3HD5p,Life in the Fast Lane - 2013 Remaster,1976-12-08,0.00006940,1,9,286220,0.0966
0.373,92.718,0.671,-18.064,0.0481,0.732,TOTO,4,0.0323,Toto IV,2374M0fQpWi3dLnB54qaLX,Africa,1982-04-08,0.00008010,1,9,295893,0.257
0.927,141.466,0.333,-8.55,0.297,0.385,Blue Öyster Cult,4,0.0733,Agents Of Fortune,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,1976-01-01,0.00020800,0,9,308120,0.0029
0.787,126.879,0.767,-9.897,0.0513,0.964,The Smashing Pumpkins,4,0.0331,Mellon Collie And The Infinite Sadness (Deluxe Edition),5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,1995-01-01,0.58300000,1,3,266200,0.0163
0.366,127.163,0.472,-12.595,0.0837,0.171,Pink Floyd,4,0.0286,The Wall,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,1979-11-30,0.31200000,0,11,382297,0.15
0.864,81.394,0.437,-7.842,0.242,0.749,Led Zeppelin,4,0.0904,Led Zeppelin IV (Deluxe Edition),3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,1971-11-08,0.03140000,0,4,295387,0.396
0.584,170.411,0.509,-4.907,0.384,0.685,Queens of the Stone Age,4,0.057,Songs For The Deaf,6y20BV5L33R8YXM0YuI38N,No One Knows,2002-01-01,0.00009960,1,0,278747,0.0368
0.912,117.399,0.575,-7.275,0.0562,0.843,The Doobie Brothers,4,0.0393,The Captain and Me,4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',1973-01-01,0.00211000,0,7,207267,0.0916
0.611,85.387,0.654,-10.45,0.405,0.786,Beck,4,0.119,Mellow Gold,5PntSbMHC1ud6Vvl8x56qd,Loser,1994-03-01,0.00017800,1,2,235000,0.0337
0.482,138.453,0.529,-11.709,0.0842,0.492,Don McLean,4,0.0599,American Pie,1fDsrQ23eTAVFElUMaf38X,American Pie,1971-01-01,0.00000000,0,4,516893,0.7
0.748,134.114,0.618,-8.905,0.0473,0.663,The Police,4,0.358,Outlandos D'Amour (Remastered 2003),3EYOJ48Et32uATr9ZmLnAo,Roxanne,1978-11-02,0.00000410,1,0,191947,0.0384
0.7,147.245,0.586,-9.558,0.0318,0.897,The Knack,4,0.0363,Get The Knack,1HOMkjp0nHMaTnfAkslCQj,My Sharona,1979-01-01,0.00125000,1,0,295400,0.0589
0.318,104.522,0.575,-16.729,0.0934,0.385,Lou Reed,4,0.109,Transformer,5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,1972-12-01,0.00020200,1,0,254173,0.683
0.706,80.823,0.445,-9.803,0.205,0.768,Thin Lizzy,4,0.0461,Jailbreak (Deluxe Edition),43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,1976-01-01,0.00025200,1,8,266720,0.234
0.913,115.728,0.574,-4.793,0.156,0.423,AC/DC,4,0.133,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,1979-07-27,0.00158000,0,6,208400,0.061
0.495,124.936,0.532,-6.662,0.0754,0.308,Billy Joel,4,0.0343,The Stranger (Legacy Edition),4U45aEWtQhrm8A5mxPaFZ7,Vienna,1977-01-01,0.00000000,1,10,214240,0.659
0.875,75.009,0.284,-6.069,0.402,0.595,Pearl Jam,4,0.0422,Ten,1L94M3KIu7QluZe63g64rv,Alive,1991-08-27,0.00046100,0,11,340907,0.00752
0.737,103.867,0.662,-9.54,0.119,0.744,Tina Turner,4,0.0296,Foreign Affair,6pPWRBubXOBAHnjl5ZIujB,The Best,1989-09-13,0.01910000,1,0,329800,0.108
0.936,91.577,0.666,-9.919,0.153,0.776,Red Hot Chili Peppers,4,0.0476,Blood Sugar Sex Magik (Deluxe Edition),0uppYCG86ajpV2hSR3dJJ0,Give It Away,1991-09-24,0.08600000,1,7,282907,0.00244
0.432,94.605,0.475,-7.844,0.161,0.648,Green Day,4,0.0302,Nimrod,6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),1997-10-14,0.00000000,1,7,153467,0.183
0.549,176.941,0.516,-13.741,0.184,0.907,Don Henley,4,0.0373,Building The Perfect Beast,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,1984-11-19,0.00572000,1,6,288733,0.501
0.751,89.839,0.421,-9.584,0.17,0.789,The Doors,4,0.0472,The Doors,6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),1967-01-04,0.00000000,1,9,145867,0.2
0.938,168.131,0.324,-7.332,0.0961,0.543,Beastie Boys,4,0.102,Ill Communication,0Puj4YlTm6xNzDDADXHMI9,Sabotage,1994-05-23,0.03210000,0,6,178440,0.032
0.953,84.989,0.267,-4.899,0.283,0.568,Def Leppard,4,0.096,Hysteria (Super Deluxe),0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,1987-08-03,0.00000000,0,1,267307,0.00211
0.919,135.997,0.465,-4.025,0.262,0.537,Foo Fighters,4,0.0408,There Is Nothing Left To Lose,5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,1999-11-02,0.00002070,1,4,235293,1.83E-05
